fb_code,Class,Order,Family,Genus,species,Home_range,Diel_activity,Size_group,Level_water,TempOccurrence_min,TempOccurrence_mean,TempOccurrence_max,Body_size_max,Size_class,Body_shape,Aspect_ratio,Nphoto,Caudal_fin,Mouth_position,Trophic_level,Diet,Spawning,Depth_min,Depth_max,Depth_range,Allometric_a,Allometric_b,Level_length_weight,PLD,PLD_level,Life_span,Geographic_range_index,Range_extension,Lat_Max_South,Lat_Max_North,Province_2,Province_3,Province_4,Province_6,Province_7,Province_10,Province_11,Province_12,Province_13,Province_14,Province_15,Province_16,Province_17,Province_43,Province_44,Province_45,Province_46,Province_47,Province_48,Province_50,Total_OcuProv,AT,EP,IUCN_status,Vulnerability,Price_category,
46703,actinopterygii,perciformes,chaenopsidae,acanthemblemaria,acanthemblemaria balanorum,sed,day,sol,bottom,"24,84","26,97","29,2","5,2",s1,elongated,NA,NA,rounded,subterminal,"3,4",pk,demersal,1,5,4,"0,007705413","2,962",genus,"51,6",genus,NA,8,native,"2,8","23,79",0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,1,lc,10,not_targeted,
25510,actinopterygii,perciformes,chaenopsidae,acanthemblemaria,acanthemblemaria castroi,sed,day,sol,bottom,"20,26",23,"25,66",6,s1,elongated,NA,NA,rounded,subterminal,"3,4",pk,demersal,1,23,22,"0,007705413","2,962",genus,"59,7",genus,NA,3,native,"-0,63","-0,63",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,vu,10,not_targeted,
3709,actinopterygii,perciformes,chaenopsidae,acanthemblemaria,acanthemblemaria chaplini,sed,day,sol,bottom,"24,21","26,97","29,8","4,5",s1,elongated,NA,NA,truncated,subterminal,"3,3",pk,demersal,2,12,10,"0,007705413","2,962",genus,"52,3",genus,NA,21,native,"11,8",27,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,lc,10,not_targeted,
46704,actinopterygii,perciformes,chaenopsidae,acanthemblemaria,acanthemblemaria crockeri,sed,day,sol,bottom,"15,45",20,"24,71",6,s1,elongated,"0,996735",1,rounded,subterminal,"3,4",pk,demersal,1,60,59,"0,007705413","2,962",genus,"47,4",genus,NA,9,native,"28,75","30,3",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,lc,10,not_targeted,
46709,actinopterygii,perciformes,chaenopsidae,acanthemblemaria,acanthemblemaria exilispinus,sed,day,sol,bottom,"26,01","27,2","28,33","5,5",s1,elongated,"120,158",1,rounded,subterminal,"3,4",pk,demersal,1,5,4,"0,007705413","2,962",genus,"19,5",genus,NA,10,native,"-1,29","13,07",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,lc,10,not_targeted,
47265,actinopterygii,perciformes,chaenopsidae,acanthemblemaria,acanthemblemaria greenfieldi,sed,day,sol,bottom,"24,83","27,21","29,78","3,6",s1,elongated,NA,NA,rounded,terminal,"3,3",pk,demersal,0,12,12,"0,007705413","2,962",genus,"16,95",genus,NA,9,native,"11,8",27,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,lc,10,not_targeted,
46714,actinopterygii,perciformes,chaenopsidae,acanthemblemaria,acanthemblemaria hancocki,sed,day,sol,bottom,"26,03","27,18","28,29","4,5",s1,elongated,"177,162",1,rounded,subterminal,"3,4",pk,demersal,1,5,4,"0,007705413","2,962",species,54,genus,NA,10,native,"-1,29","13,07",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,lc,10,not_targeted,
60576,actinopterygii,perciformes,chaenopsidae,acanthemblemaria,acanthemblemaria harpeza,sed,day,sol,bottom,26,28,"29,5","3,3",s1,elongated,NA,NA,rounded,subterminal,"3,3",pk,demersal,0,12,12,"0,007705413","2,962",genus,"19,5",genus,NA,3,native,"18,3","18,39",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,dd,10,not_targeted,
55035,actinopterygii,perciformes,chaenopsidae,acanthemblemaria,acanthemblemaria johnsoni,sed,day,sol,bottom,"26,36",28,"29,33",2,s1,elongated,NA,NA,rounded,subterminal,"3,1",pk,demersal,0,12,12,"0,007705413","2,962",genus,"20,1",genus,NA,7,native,"10,53","14,6",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,lc,10,not_targeted,
46717,actinopterygii,perciformes,chaenopsidae,acanthemblemaria,acanthemblemaria macrospilus,sed,day,sol,bottom,"18,56","22,8","27,49",6,s1,elongated,"184,211",1,rounded,subterminal,"3,4",pk,demersal,2,15,13,"0,007705413","2,962",genus,"19,7",genus,NA,13,native,"21,58","30,3",0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,1,lc,10,not_targeted,
60574,actinopterygii,perciformes,chaenopsidae,acanthemblemaria,acanthemblemaria mangognatha,sed,day,sol,bottom,24,"25,32",28,4,s1,elongated,NA,NA,rounded,subterminal,"3,3",pk,demersal,1,10,9,"0,007705413","2,962",genus,"21,3",genus,NA,1,native,"18,77","18,77",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,vu,10,not_targeted,
16485,actinopterygii,perciformes,chaenopsidae,acanthemblemaria,acanthemblemaria maria,sed,day,sol,bottom,"25,55","27,44","29,5","5,1",s1,elongated,NA,NA,truncated,subterminal,"3,4",pk,demersal,0,12,12,"0,007705413","2,962",genus,"20,7",genus,NA,23,native,"10,53",27,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,lc,10,not_targeted,
27905,actinopterygii,perciformes,chaenopsidae,acanthemblemaria,acanthemblemaria medusa,sed,day,sol,bottom,"26,01","27,69","29,37",4,s1,elongated,NA,NA,rounded,subterminal,"3,3",pk,demersal,0,12,12,"0,007705413","2,962",genus,"26,8",genus,NA,13,native,"10,53","21,3",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,lc,10,not_targeted,
54806,actinopterygii,perciformes,chaenopsidae,acanthemblemaria,acanthemblemaria paula,sed,day,sol,bottom,"23,56","26,5","30,36","1,8",s1,elongated,NA,NA,truncated,subterminal,3,pk,demersal,1,2,1,"0,007705413","2,962",genus,"18,7",genus,NA,1,native,"16,43",27,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,dd,10,not_targeted,
16486,actinopterygii,perciformes,chaenopsidae,acanthemblemaria,acanthemblemaria spinosa,sed,day,sol,bottom,"25,34","27,36","29,53","3,1",s1,elongated,NA,NA,rounded,subterminal,"3,2",pk,demersal,1,12,11,"0,007705413","2,962",genus,21,genus,4,24,native,"10,53",27,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,lc,"21,66",not_targeted,
46725,actinopterygii,perciformes,chaenopsidae,acanthemblemaria,acanthemblemaria stephensi,sed,day,sol,bottom,26,"26,03",27,5,s1,elongated,NA,NA,rounded,terminal,"3,4",pk,demersal,1,10,9,"0,007705413","2,962",genus,"40,8",genus,NA,1,native,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,vu,10,not_targeted,
351,actinopterygii,perciformes,serranidae,acanthistius,acanthistius brasilianus,sed,day,sol,bottom,"16,71","20,26","24,01",60,s5,fusiform,"1,052,929",2,rounded,terminal,4,im,pelagic,15,60,45,"0,001417552","3,548,062,049",genus,"20,2",,NA,17,native,-42,"-20,45",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,3,1,0,dd,"51,88",high,
50141,actinopterygii,perciformes,serranidae,acanthistius,acanthistius patachonicus,sed,day,sol,bottom,"21,46","23,79","26,45",31,s4,fusiform,"0,906649",1,rounded,terminal,4,im,pelagic,0,30,30,"0,001417552","3,548,062,049",genus,"93,3",,NA,22,native,-42,"-5,95",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,3,1,0,ne,"41,36",very high,
57960,actinopterygii,perciformes,serranidae,acanthistius,acanthistius pictus,vmob,night,sol,bottom,"14,62","17,08","20,41",47,s4,fusiform,"154,767",1,rounded,terminal,"4,2",fc,pelagic,10,50,40,"0,001417552","3,548,062,049",genus,93,,NA,11,native,-30,-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,lc,"39,1",very high,
7920,actinopterygii,perciformes,serranidae,acanthistius,acanthistius sebastoides,mob,day,sol,bottom,13,"15,35","18,05",35,s4,fusiform,"186,633",1,rounded,terminal,4,fc,pelagic,1,30,29,"0,001417552","3,548,062,049",genus,18,,NA,18,native,"-22,9","-22,9",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,lc,"34,24",very high,
89,actinopterygii,perciformes,scombridae,acanthocybium,acanthocybium solandri,vmob,day,smallg,high,"22,01","24,65","27,58",250,s6,elongated,"561,927",1,forked,terminal,"4,3",fc,pelagic,0,20,20,"0,00327","3,181",species,75,,"9,3",170,native,-30,"42,73",0,1,1,1,0,0,1,1,0,0,0,1,1,1,1,1,0,0,0,0,10,1,1,lc,"46,16",very high,
7633,actinopterygii,perciformes,labridae,acantholabrus,acantholabrus palloni,mob,day,sol,low,"15,11","19,07","23,68",25,s3,fusiform,"153,176",1,truncated,terminal,"3,5",im,pelagic,30,500,470,"0,0144872",3,family,"39,2",,NA,66,native,"0,19",51,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,5,1,0,lc,"31,66",very high,
23363,actinopterygii,tetraodontiformes,ostraciidae,acanthostracion,acanthostracion guineensis,mob,day,sol,low,"25,5",27,"28,88",18,s3,box_shaped,"173,893",1,rounded,terminal,"2,6",is,pelagic,0,200,200,"0,006457845","3,167,604,278",family,29,,NA,9,native,"0,19","9,16",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,lc,10,high,
23370,actinopterygii,tetraodontiformes,ostraciidae,acanthostracion,acanthostracion notacanthus,mob,day,sol,low,"19,8","22,02","25,39",50,s4,box_shaped,NA,NA,rounded,subterminal,"2,4",is,pelagic,3,25,22,"0,006457845","3,167,604,278",family,"39,85",,NA,9,native,"-15,97","38,2",0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,3,1,0,dd,"27,83",high,
4287,actinopterygii,tetraodontiformes,ostraciidae,acanthostracion,acanthostracion polygonius,mob,day,sol,low,"22,91","25,64","28,52",50,s4,box_shaped,"0,375069",1,rounded,subterminal,2,is,pelagic,3,80,77,"0,006457845","3,167,604,278",family,"32,3",,NA,56,native,"-35,3","34,7",0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,5,1,0,lc,"25,58",high,
92,actinopterygii,tetraodontiformes,ostraciidae,acanthostracion,acanthostracion quadricornis,mob,day,sol,bottom,"23,02","25,75","28,68",55,s5,box_shaped,"136,959",1,rounded,subterminal,"2,7",im,pelagic,1,80,79,"0,006457845","3,167,604,278",family,"36,6",,NA,62,native,"-27,6","38,2",0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,5,1,0,lc,"31,74",high,
4306,actinopterygii,perciformes,acanthuridae,acanthurus,acanthurus achilles,mob,day,medg,low,27,28,29,24,s3,compressed,"232,592",3,truncated,terminal,2,hd,pelagic,0,10,10,"0,002453226",3,species,"16,7",genus,NA,104,native,"10,3","10,3",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,lc,"24,17",medium,
942,actinopterygii,perciformes,acanthuridae,acanthurus,acanthurus bahianus,mob,day,medg,low,"21,94","24,56","27,53","38,1",s4,compressed,"2,43",1,truncated,terminal,2,hd,pelagic,2,40,38,"0,0191","3,08",species,"69,3",species,31,54,native,"-27,6","34,7",0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,4,1,0,lc,"17,97",not_targeted,
943,actinopterygii,perciformes,acanthuridae,acanthurus,acanthurus chirurgus,mob,day,medg,low,"23,3","25,94","28,82",39,s4,compressed,"1,867,165",2,truncated,terminal,2,hd,pelagic,2,25,23,"0,0225",3,species,"33,7",species,12,60,native,"-27,6","34,7",0,0,0,1,0,0,0,1,1,1,1,1,1,1,0,0,0,1,0,0,9,1,1,lc,"22,98",medium,
944,actinopterygii,perciformes,acanthuridae,acanthurus,acanthurus coeruleus,mob,day,medg,low,"23,56","26,11","28,85",39,s4,compressed,"348,929",1,truncated,terminal,2,hd,pelagic,2,40,38,"0,0286",3,species,18,species,23,53,native,"-24,98","34,7",0,0,0,1,0,0,0,1,1,1,1,0,0,0,0,0,0,1,0,0,6,1,0,lc,"58,55",medium,
4736,actinopterygii,perciformes,acanthuridae,acanthurus,acanthurus guttatus,mob,day,largeg,low,27,28,29,26,s3,compressed,"2,291,553,333",3,truncated,terminal,2,hd,pelagic,1,6,5,"0,005373761",3,species,"57,6",genus,NA,205,native,"10,3","10,3",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,lc,"25,02",medium,
4737,actinopterygii,perciformes,acanthuridae,acanthurus,acanthurus leucopareius,mob,day,medg,high,13,15,"18,62",25,s3,compressed,"193,654",4,truncated,terminal,2,hd,pelagic,1,85,84,"0,0028375",3,species,73,genus,NA,113,native,-30,-30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,lc,"24,62",medium,
1800,actinopterygii,perciformes,acanthuridae,acanthurus,acanthurus monroviae,mob,day,medg,low,"18,81","22,2","26,1",45,s4,compressed,"185,186",2,truncated,terminal,"2,5",hd,pelagic,5,40,35,"0,002453226",3,genus,"36,8",genus,NA,60,transatlantic,"-24,98","39,7",0,1,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,6,1,0,lc,"46,16",medium,
6011,actinopterygii,perciformes,acanthuridae,acanthurus,acanthurus nigricans,sed,day,smallg,low,"25,41","26,6","27,96","21,3",s3,compressed,"24,416,175",4,truncated,terminal,2,hd,pelagic,1,67,66,"0,067","2,669",species,"30,5",species,34,206,native,"-1,29","18,77",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2,0,1,lc,"20,49",medium,
3905,actinopterygii,perciformes,acanthuridae,acanthurus,acanthurus tractus,mob,day,medg,low,"23,65","26,42","29,32","38,1",s4,compressed,"242,851",1,truncated,terminal,2,hd,pelagic,11,45,34,"0,0191","2,08",species,"44,27",,31,60,native,"10,53","34,7",0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,lc,"21,09",medium,
1260,actinopterygii,perciformes,acanthuridae,acanthurus,acanthurus triostegus,vmob,day,largeg,low,"25,02","26,37","27,93",27,s3,compressed,"1,915,724",5,truncated,terminal,"2,8",hd,pelagic,0,90,90,"0,083063451","2,569,683,389",species,38,species,NA,293,native,-30,"21,58",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,3,0,1,lc,"16,26",medium,
1261,actinopterygii,perciformes,acanthuridae,acanthurus,acanthurus xanthopterus,mob,day,medg,low,"25,21","26,74","28,44",70,s5,compressed,"199,969",3,truncated,subterminal,"2,9",hd,pelagic,1,100,99,"0,026730455","2,984,486,638",species,56,genus,34,274,native,"-1,29","23,79",0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,3,0,1,lc,"37,08",medium,
57913,actinopterygii,gobiesociformes,gobiesocidae,acyrtops,acyrtops amplicirrus,sed,day,sol,bottom,"25,82","27,45","29,03","1,9",s1,depressed,NA,NA,rounded,terminal,3,im,demersal,1,3,2,"0,02306538",3,family,43,,NA,8,native,"14,2","21,3",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,lc,"15,01",not_targeted,
3073,actinopterygii,gobiesociformes,gobiesocidae,acyrtops,acyrtops beryllinus,sed,day,sol,bottom,"24,75","27,05","29,39","2,5",s1,depressed,"137,639",1,truncated,terminal,"3,3",im,demersal,1,15,14,"0,02306538",3,family,"35,5",,1,35,native,"-24,98",27,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,3,1,0,lc,10,not_targeted,
16662,actinopterygii,gobiesociformes,gobiesocidae,acyrtus,acyrtus artius,sed,day,sol,bottom,"25,33","27,29","29,36",3,s1,depressed,NA,NA,truncated,terminal,"3,1",im,demersal,8,20,12,"0,02306538",3,family,52,,NA,25,native,"-20,55",27,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,2,1,0,lc,"23,38",not_targeted,
62176,actinopterygii,gobiesociformes,gobiesocidae,acyrtus,acyrtus pauciradiatus,sed,day,sol,bottom,26,27,"28,21","1,6",s1,depressed,NA,NA,rounded,terminal,3,im,demersal,8,20,12,"0,02306538",3,family,49,,NA,1,native,"-3,85","-3,85",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,ne,"12,66",not_targeted,
16677,actinopterygii,gobiesociformes,gobiesocidae,acyrtus,acyrtus rubiginosus,sed,day,sol,bottom,"25,42","27,35","29,42","3,5",s1,depressed,NA,NA,truncated,terminal,"3,3",im,demersal,0,4,4,"0,02306538",3,family,35,,NA,23,native,"10,53",27,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,lc,"22,29",not_targeted,
4150,actinopterygii,scorpaeniformes,agonidae,agonomalus,agonomalus mozinoi,sed,both,sol,bottom,11,"12,1","14,43","8,9",s2,elongated,NA,NA,rounded,subterminal,"3,2",fc,demersal,1,11,10,NA,NA,,"18,7",,NA,4,native,"37,4","37,4",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,ne,"19,5",not_targeted,
2633,actinopterygii,anguilliformes,ophichthidae,ahlia,ahlia egmontis,mob,day,sol,bottom,"23,19","25,98","28,88","43,3",s4,eel_like,NA,NA,pointed,subterminal,"4,1",im,pelagic,1,37,36,"0,00024","3,015",family,"30,95",,NA,50,native,"-27,6","34,7",0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,5,1,0,lc,"26,86",not_targeted,
25971,actinopterygii,perciformes,blenniidae,aidablennius,aidablennius sphynx,sed,day,sol,bottom,"13,57",19,"25,45",8,s2,elongated,NA,NA,rounded,subterminal,"2,8",om,demersal,0,3,3,"0,014905494","3,017,856,658",family,"29,9",species,NA,34,native,"32,5","42,86",0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,lc,"15,01",not_targeted,
IRD-1008-G,actinopterygii,albuliformes,albulidae,albula,albula esuncula,vmob,both,medg,low,"22,71","25,06","27,46",32,s4,fusiform,NA,NA,forked,inferior,"3,3",im,pelagic,0,10,10,"0,0233","2,89",genus,"25,75",,NA,NA,native,-12,"30,3",0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,4,0,1,lc,"28,67",not_targeted,
228,actinopterygii,albuliformes,albulidae,albula,albula vulpes,mob,day,smallg,low,"22,35","25,26","28,36",104,s6,fusiform,"2,409,305",2,forked,subterminal,"3,7",im,pelagic,0,84,84,"0,0233","2,89",species,"23,5",,20,59,native,-30,"34,7",0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,5,1,1,nt,"42,66",high,
1888,actinopterygii,perciformes,carangidae,alectis,alectis alexandrina,vmob,day,sol,high,"16,79","20,74","25,48",71,s5,compressed,"388,094",1,forked,terminal,"3,6",fc,pelagic,0,70,70,"0,0412","2,85",genus,"28,16",,NA,51,native,"0,19","42,73",0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,4,1,0,lc,"52,36",high,
988,actinopterygii,perciformes,carangidae,alectis,alectis ciliaris,vmob,both,smallg,high,"23,03","25,55","28,28",150,s6,compressed,"440,876",1,forked,terminal,4,fc,pelagic,60,100,40,"0,0412","2,85",species,51,,NA,361,native,-30,"34,7",0,0,0,1,0,0,1,1,1,1,0,1,1,1,1,1,0,1,0,0,11,1,1,lc,"71,04",medium,
56405,actinopterygii,ophidiiformes,bythitidae,alionematichthys,alionematichthys minyomma,sed,night,sol,bottom,"24,71","26,88","29,28","7,8",s2,elongated,NA,NA,rounded,terminal,"3,2",im,live,0,9,9,NA,NA,,"25,26",,NA,38,native,"11,8",27,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,lc,"14,62",not_targeted,
3710,actinopterygii,perciformes,labrisomidae,alloclinus,alloclinus holderi,sed,day,sol,bottom,"15,99","19,37","23,81",10,s2,elongated,"0,616748",1,rounded,terminal,"3,6",im,demersal,0,49,49,"0,0245149","2,223",family,24,,NA,8,native,"24,7","37,4",0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,lc,10,not_targeted,
9144,actinopterygii,zeiformes,oreosomatidae,allocyttus,allocyttus verrucosus,vmob,NA,largeg,bottom,13,"17,1","21,65",43,s4,compressed,"104,856",1,rounded,superior,"4,2",fc,NA,0,1800,1800,"0,0129","3,191",species,"19,7",,140,23,native,-42,"38,2",0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,5,1,0,lc,"68,75",medium,
8726,actinopterygii,perciformes,serranidae,alphestes,alphestes afer,sed,day,sol,low,"22,58","25,6","28,72",33,s4,fusiform,"10,072,705",2,rounded,terminal,"3,6",im,pelagic,2,35,33,"0,001417552","3,548,062,049",genus,"17,2",,NA,44,native,"-35,3","32,7",0,0,0,1,0,0,1,1,0,0,0,0,1,1,0,0,0,1,0,0,6,1,1,lc,"33,13",very high,
8727,actinopterygii,perciformes,serranidae,alphestes,alphestes immaculatus,sed,night,sol,bottom,"23,08","25,19","27,44",30,s3,fusiform,"0,907836",1,rounded,terminal,"3,5",im,pelagic,3,32,29,"0,001417552","3,548,062,049",species,"32,7",,NA,33,native,-12,"30,3",0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,4,0,1,lc,"31,76",not_targeted,
8728,actinopterygii,perciformes,serranidae,alphestes,alphestes multiguttatus,sed,night,sol,bottom,"23,78","25,72","27,79",30,s3,fusiform,"106,775",1,rounded,terminal,"3,5",im,pelagic,1,30,29,"0,001417552","3,548,062,049",species,"21,9",,NA,28,native,-12,"30,3",0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,3,0,1,lc,"31,76",not_targeted,
4273,actinopterygii,tetraodontiformes,monacanthidae,aluterus,aluterus heudelotii,vmob,day,medg,high,"22,53","25,72","28,94",45,s4,compressed,"0,659945",1,truncated,superior,2,om,demersal,3,500,497,"0,0022",3,genus,80,,NA,53,native,"-24,98","32,7",0,0,0,1,0,0,0,1,0,1,0,1,1,0,0,0,0,1,0,0,6,1,0,lc,"38,37",not_targeted,
